categoria,titulo,archivo original 
audio,Discernimiento de espiritus: consolación y desolación,https://radiomaria.org.ar/programacion/discernimiento-de-espiritus-consolacion-y-desolacion/ 
audio,El discernimiento en la vida cotidiana,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-2/ 
audio,El discernimiento en la vida cotidiana II Las alegrías duraderas,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-iilas-alegrias-duraderas/ 
audio,El discernimiento en la vida cotidiana III Buscar y hallar lo que a Dios le agrada,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-iiibuscar-y-hallar-lo-que-a-dios-le-agrada/ 
audio,El discernimiento en la vida cotidiana IV Las primeras 2 reglas de San Ignacio,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-ivlas-primeras-2-reglas-de-san-ignacio/ 
audio,El discernimiento en la vida cotidiana V Recibir la consolación y resistir la desolación,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-vrecibir-la-consolacion-y-resistir-la-desolacion/ 
audio,El discernimiento en la vida cotidiana VI Cómo actuar cuando estamos desolados o consalados,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-vicomo-actuar-cuando-estamos-desolados-o-consalados/ 
audio,El discernimiento en la vida cotidiana VII Los 3 pasos del discernimiento,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-viilos-3-pasos-del-discernimiento/ 
audio,El discernimiento en la vida cotidiana Conclusiones,https://radiomaria.org.ar/programacion/el-discernimiento-en-la-vida-cotidiana-conclusiones/
audio,Peces deseosos de los anzuelos de Dios,https://radiomaria.org.ar/programacion/peces-deseosos-de-los-anzuelos-de-dios/
audio,Sólo se trata de amar mucho,https://radiomaria.org.ar/programacion/solo-se-trata-de-amar-mucho/ 
audio,“La Alegría del amor” la encíclica del Papa atravesada por la misericordia,https://radiomaria.org.ar/programacion/la-alegria-del-amor/
audio,“Bergoglio es un tiempista de la espiritualidad”,https://drive.google.com/file/d/1zfQw6-wPnkJBwOdmunsUudfM_uqJCAnJ/view?usp=drive_link
audio,La santidad es ‘la alegría del amor’ ,https://drive.google.com/file/d/11M9eO7NHUjbVw3UUmJ8fXQSISKZAfopB/view?usp=drive_link
audio,La exhortación del Papa y sus claves para un discernimiento evangélico del debate por el aborto,https://drive.google.com/file/d/1TL1PoLseoEe5-OVRuGcSDQcbBhJ__wTj/view?usp=drive_link
audio,¿Debo aguantar las humillaciones?,https://drive.google.com/file/d/1JwtEI1pVUIlfVDBjDtPiv84ZBmTAyBOn/view?usp=drive_link
audio,De la “audacia” para evangelizar hasta cómo rezar cuando se está cansado,https://drive.google.com/file/d/1QF22AuFNsJF7oU7-HC7aG-qmZxE8j-Y7/view?usp=drive_link
audio,De qué manera el Evangelio ilumina toda la realidad,https://drive.google.com/file/d/140IlddCsPAsgjTBXW_J05FLGPL3Ne0YB/view?usp=drive_link
audio,El paradigma tecnocrático y las manos de Jesús ,https://drive.google.com/file/d/19aGkvIyHYU3mmBk-VFLVkOEXtxNy32hG/view?usp=drive_link
audio,Lo del coronavirus se discierne mirando a Jesús en la cruz,https://drive.google.com/file/d/1KtuftDmJnSCHQM_s4KHXkKScGQAdZaG5/view?usp=drive_link
audio,Para estar con Jesús no hacen falta barbijos ,https://drive.google.com/file/d/1KTLleWtaCuhZVsm5j0UEH8eezH3-bDGB/view?usp=drive_link
audio,Es falsa y hace daño la idea de una esperanza que absolutiza el más allá,https://drive.google.com/file/d/1D9nS_QSZYM9QSEQGW4wjR9mLbD0-eT5i/view?usp=drive_link
audio,El fallecimiento del padre Diego Fares sj,https://drive.google.com/file/d/19_gMyc73bPxG1ex3qnzDx2JEQt27owtU/view?usp=drive_link
